unitid,name,city,state,level,control,Undergraduate Program,Graduate Program,Enrollment Profile,Undergraduate Profile,Size & Setting,Basic,Community Engagement,"133 results for  Basic = 'Doctoral Universities: High Research Activity'"
186584,"Seton Hall University","South Orange","NJ","Four or more years","Private not-for-profit","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
219356,"South Dakota State University","Brookings","SD","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral STEM-dominant","Very high undergraduate","Four-year full-time selective lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
149222,"Southern Illinois University-Carbondale","Carbondale","IL","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Comprehensive programs with medical/veterinary school","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Classified"
228246,"Southern Methodist University","Dallas","TX","Four or more years","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Not Classified"
160621,"Southern University and A & M College","Baton Rouge","LA","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year full-time inclusive lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
186867,"Stevens Institute of Technology","Hoboken","NJ","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
196103,"SUNY College of Environmental Science and Forestry","Syracuse","NY","Four or more years","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time more selective higher transfer-in","Four-year small primarily residential","Doctoral Universities High Research Activity","Not Classified"
228529,"Tarleton State University","Stephenville","TX","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Single program Education","Very high undergraduate","Four-year medium full-time lower transfer-in higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
196468,"Teachers College at Columbia University","New York","NY","Four or more years","Private not-for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral Comprehensive programs no medical/veterinary school","Exclusively graduate","Not classified (Exclusively Graduate)","Exclusively graduate/professional","Doctoral Universities High Research Activity","Not Classified"
221838,"Tennessee State University","Nashville","TN","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time inclusive lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
221847,"Tennessee Technological University","Cookeville","TN","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral STEM-dominant","Very high undergraduate","Four-year full-time selective higher transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
224147,"Texas A & M University-Corpus Christi","Corpus Christi","TX","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year medium full-time lower transfer-in higher transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
228705,"Texas A & M University-Kingsville","Kingsville","TX","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
