Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
Eastern Connecticut State U.,0,0.0,0,0.0,577,63.8,523,89.8
Eastern Illinois U.,0,0.0,368,53.7,750,82.7,0,0.0
Eastern Kentucky U.,0,0.0,406,59.1,644,71.1,0,0.0
Eastern Mennonite U.,0,0.0,0,0.0,875,96.3,0,0.0
Eastern Michigan U.,248,55.7,362,52.8,373,41.6,404,69.6
Eastern New Mexico U.,0,0.0,408,59.4,0,0.0,0,0.0
"Eastern New Mexico U., Portales",0,0.0,0,0.0,821,90.4,0,0.0
Eastern Oregon U.,0,0.0,0,0.0,900,99.0,0,0.0
Eastern U.,0,0.0,294,43.0,0,0.0,0,0.0
Eastern Virginia Medical School,0,0.0,412,60.0,281,31.5,289,50.0
Eastern Washington U.,0,0.0,289,42.3,550,60.9,360,62.1
Eckerd C.,0,0.0,0,0.0,817,90.0,0,0.0
Edinboro U. Pennsylvania,0,0.0,525,76.2,0,0.0,0,0.0
Edward Via C. Osteopathic Medicine,0,0.0,0,0.0,381,42.4,472,81.1
Elizabeth City State U.,0,0.0,637,92.3,570,63.0,548,94.1
"Elmezzi Graduate School of Molecular Medicine, The",405,90.5,653,94.6,0,0.0,0,0.0
Elmhurst C.,0,0.0,0,0.0,773,85.2,0,0.0
Elon U.,0,0.0,0,0.0,541,59.9,0,0.0
Embry-Riddle Aeronautical U.,0,0.0,261,38.3,279,31.3,410,70.6
"Embry-Riddle Aeronautical U., Daytona Beach",288,64.6,0,0.0,0,0.0,0,0.0
Emerson C.,0,0.0,0,0.0,735,81.0,0,0.0
Emory U.,86,19.8,118,17.8,31,4.3,71,12.9
Emporia State U.,0,0.0,462,67.1,734,80.9,0,0.0
Endicott C.,0,0.0,617,89.4,0,0.0,0,0.0
Erikson Institute,0,0.0,0,0.0,568,62.8,0,0.0
"Evergreen State C., The",0,0.0,587,85.1,689,76.0,0,0.0
Fairfield U.,0,0.0,483,70.2,674,74.4,0,0.0
Fairleigh Dickinson U.,0,0.0,338,49.4,836,92.0,0,0.0
"Fairleigh Dickinson U., Teaneck",334,74.8,0,0.0,0,0.0,0,0.0
Fayetteville State U.,0,0.0,472,68.6,447,49.6,546,93.7
Ferris State U.,0,0.0,0,0.0,671,74.1,0,0.0
Fielding Graduate U.,135,30.7,220,32.4,675,74.5,579,99.3
Fisk U.,0,0.0,594,86.1,434,48.2,544,93.4
Fitchburg State U.,0,0.0,459,66.7,0,0.0,0,0.0
Five Towns C.,417,93.1,0,0.0,0,0.0,0,0.0
Florida A&M U.,284,63.7,330,48.2,211,23.9,232,40.3
Florida Atlantic U.,148,33.6,190,28.1,190,21.6,180,31.5
Florida Gulf Coast U.,0,0.0,572,82.9,360,40.1,259,44.9
